#log(E)[TeV],EA[m^2]
-1.6,1437.69706654
-1.5775862069,1588.04911784
-1.55517241379,1771.65897883
-1.5275862069,2036.36344131
-1.5,2364.01434743
-1.47413793103,2663.70398926
-1.43793103448,3123.2045736
-1.40689655172,3661.97101777
-1.36551724138,4336.59663098
-1.31896551724,5135.50496402
-1.25862068966,6328.42877131
-1.1724137931,7955.14221828
-1.07068965517,10405.8753129
-0.975862068966,13080.6904859
-0.877586206897,15959.6645227
-0.791379310345,19088.7520938
-0.708620689655,22831.3355824
-0.63275862069,26504.8977961
-0.560344827586,30465.0079573
-0.515517241379,32018.3957353
-0.475862068966,33650.9895845
-0.425862068966,34670.2364431
-0.351724137931,35366.8281627
-0.286206896552,36077.4157495
-0.224137931034,37916.9759677
-0.156896551724,39065.4342781
-0.0913793103448,40248.6779705
-0.0310344827586,40248.6779705
-0.00172413793103,40651.0038141
