#E[TeV],EA[m^2] 
0.0201196846724,97.6697137986
0.0315215265971,3717.47488814
0.0500223793492,7656.95757643
0.0793818924996,15094.4335272
0.125973313121,39571.9016782
0.199910522652,32094.6921231
0.317243518305,57956.0200752
0.500223793492,142266.89725
0.798926752128,248586.10734
1.25973313121,237661.235176
2.01196846724,1138745.25877
3.19284821427,758156.021593
5.03442483024,1944515.9663
7.98926752128,2029465.23221
12.6783888287,2415986.89866
19.9910522652,2634625.72618
31.7243518305,2491333.61284
50.0223793492,3346050.0387
78.8743754047,3234266.72272
125.973313121,3375509.24891

