1.731218,0.328817
1.870038,1.823756
1.998878,6.561975
2.127663,18.210454
2.266381,62.202466
2.398434,150.291780
2.533812,417.066090
2.669140,908.262786
2.797860,1845.693313
2.936481,3950.382329
3.061860,6521.837463
3.200445,11739.826967
3.335696,17773.535121
3.464340,25108.878535
3.599574,34861.454538
3.731485,42878.585178
3.873279,50941.652621
3.998579,57463.300284
4.133762,62610.293528
4.268963,74386.623792
4.400798,63605.588007
4.532674,65796.432850
4.667878,79537.189990
4.802970,56215.457858
4.931683,110348.439874
