1.460588,0.078266
1.592797,0.398114
1.731617,2.208108
1.867169,14.066683
2.002576,44.834430
2.131383,138.041779
2.270037,345.270298
2.398800,863.639858
2.530849,2050.885966
2.666158,4095.945980
2.804750,7632.793593
2.940031,13272.292131
3.068693,20445.294209
3.200619,26950.290730
3.335845,36144.653763
3.467767,46826.896170
3.599664,53742.166408
3.731558,60620.034572
3.863447,67204.507602
3.998626,71967.230719
4.130480,67101.024153
4.268948,69409.625497
4.400835,75628.091022
4.535988,71744.401960
4.671142,68060.149912
4.796417,68010.963904
4.938189,72828.068710
