#E[TeV],EA[m^2] 
0.168569598384,326.981228796
0.200247984872,1424.05568191
0.236561743013,5530.17136616
0.281017530981,18431.4781596
0.331978356679,44675.4726928
0.396562111523,78752.7195593
0.471085916267,108287.45492
0.553431573828,131088.833375
0.661097294705,150807.602782
0.776656876439,173492.52771
0.927749308513,192105.94379
1.10209629303,218205.572225
1.30920737743,238557.657165
1.54662419883,262474.511993
1.83727304413,281524.312095
2.18254197836,298134.456196
2.57833273543,325941.526906
3.0799269085,340803.038234
3.57831963476,360910.671329
4.29826437452,372589.817605
5.07772856249,404755.029945
5.99854385579,407341.35735
7.12581824248,425914.345745
8.51208963392,425914.345745
10.0557054882,451043.609376
12.0119631929,445334.181364
14.0334761002,448179.803808
16.6707124936,471609.229762
19.9138673171,453925.714258
23.525126436,483779.323526
27.9460781056,468614.847156
33.1978356679,483779.323526
39.0008060248,448179.803808
46.0733657721,436905.261944
55.0365734633,451043.609376
65.3793034805,431374.800833
77.2354438333,420523.010526
