#E[TeV],EA[m^2] 
0.0720542880068,166.45626222
0.0846493529857,580.076774412
0.101117212866,2168.20122304
0.120119631929,7365.79990708
0.142693074362,19149.510471
0.168569598384,38098.9373942
0.200247984872,56548.4193887
0.236561743013,72034.0836674
0.281017530981,83932.0976926
0.335687261591,97174.3998758
0.398771180126,112505.992949
0.468476246464,126173.510962
0.556514491429,137941.743946
0.661097294705,149850.081949
0.780983281487,159705.363672
0.927749308513,172390.973766
1.10209629303,186084.218793
1.30920737743,193333.473605
1.55523974444,204740.292548
1.83727304413,208690.209333
2.17045137302,219599.874975
2.59269546382,225266.751067
3.0799269085,237042.986005
3.6182970821,232556.431162
4.27445332359,238557.657165
5.07772856249,229612.671014
5.99854385579,241616.096933
7.1655129609,235537.931927
8.46493529857,246277.433815
10.1117212866,231079.863512
11.945420644,228154.794143
14.1116502639,243159.989625
16.8569598384,221003.087122
19.9138673171,221003.087122
23.6561743013,222415.265596
27.7912655043,186084.218793
33.0139299592,215443.469003
39.2180619189,198322.533091
46.3300197055,200865.136541
55.3431573828,197063.326303
65.3793034805,175716.796898
77.6656876439,161752.873868
